file	intent	top_graphType	top_score	top_category	scoring_factors	alt1_graphType	alt1_score	alt2_graphType	alt2_score	alt3_graphType	alt3_score	n_factor	n_numeric	n_time	n_bool	generate_hint
alluvial	Show patient response state transitions from baseline to week 24	Alluvial	1.0	single_dimensional	3+ factor cols with no numeric → sequential state transitions	CDF	0.4	Upset	0.4	Density	0.35	4	0	0	0	Alluvial chart — columns: PatientID, Baseline, Week12, Week24
area	Show revenue area chart over months by region	Area	1.0	single_dimensional	time + numeric → area trend | stacked area by category	Line	0.95	Bar	0.9	Dotplot	0.85	1	1	1	0	Area chart of Revenue over Month — columns: Month, Revenue, Region
bar	Compare average values across four groups	Bar	1.0	single_dimensional	1+ category + 1+ numeric | exactly 1 cat, 1 num — classic bar | small-medium dataset	Dotplot	0.85	CDF	0.85	TreeBracket	0.85	2	1	0	0	Bar chart of Value grouped by Group — columns: Sample, Group, Value
bar_line	Show monthly sales bars with market share trend line overlay	BarLine	1.0	multi_dimensional	time + 2 numeric → dual-axis bar-line | grouped series	Line	1.0	Spaghetti	1.0	Boxplot	0.9	1	2	1	0	BarLine chart of Sales over Month — columns: Month, Sales, MarketShare, Group
binplot	Bin scatter of two numeric variables across two groups	Binplot	1.0	multi_dimensional	2 numeric → binned scatter | large n → binning reduces overplot	Scatter2D	1.0	Boxplot	0.9	ParallelCoordinates	0.9	2	2	0	0	Binplot chart of X grouped by Group — columns: Sample, X, Y, Group
boxplot	Compare distribution of values across treatment groups	Boxplot	1.0	single_dimensional	cat + numeric → distribution by group | sufficient n for box stats	Bar	1.0	Violin	1.0	Histogram	0.9	2	1	0	0	Boxplot chart of Value grouped by Group — columns: Sample, Group, Value
bubble	Bubble chart with x, y position and bubble size as third variable	Bubble	1.0	multi_dimensional	3 numeric → x, y, size | colour bubbles by category	ScatterBubble2D	1.0	Scatter2D	1.0	Boxplot	0.9	2	3	0	0	Bubble chart of X grouped by Group — columns: Sample, X, Y, Size, Group
bullet	Bullet chart comparing actual performance against targets	Bullet	1.0	single_dimensional	cat + 2 numeric (value + target) | 3+ numeric — actual/target/range bullet pattern	Ribbon	1.0	DotLine	1.0	Dotplot	0.85	1	4	0	0	Bullet chart of Actual grouped by Metric — columns: Metric, Actual, Target, Min, Max
bump	Show ranking changes of drugs over years	Bump	1.0	single_dimensional		Dotplot	0.85	CDF	0.85	Boxplot	0.8	2	1	0	0	Bump chart of Rank grouped by Drug colored by Year — columns: Drug, Year, Rank
cdf	Cumulative distribution comparison between two groups	CDF	1.0	single_dimensional	1+ numeric → CDF | enough data for smooth CDF | group overlay → empirical CDF per group	Boxplot	1.0	Violin	1.0	Bar	0.95	2	1	0	0	CDF chart of Value grouped by Group — columns: Sample, Value, Group
chord	Show trade flow between global regions	Sankey	1.0	single_dimensional	2 cats as source/target + flow value	Alluvial	1.0	Chord	0.9	Dotplot	0.85	2	1	0	0	Sankey chart of Value grouped by From colored by To — columns: From, To, Value
cleveland	Cleveland dot plot comparing metric values in 2020 vs 2024 by country	Cleveland	1.0	single_dimensional	cat + numeric → Cleveland dot | exactly 2 numerics per category → paired before/after dots	SPLOM	1.0	Bar	1.0	ParallelCoordinates	0.9	1	2	0	0	Cleveland chart of Value2020 grouped by Country — columns: Country, Value2020, Value2024
contour	Show 2D density contour of two correlated biomarkers	Contour	1.0	multi_dimensional	2 numeric → 2D density contour | large n — contour informative | pure bivariate — contour preferred over violin	Density	1.0	SPLOM	1.0	Correlation	1.0	1	2	0	0	Contour chart — columns: Sample, Biomarker1, Biomarker2
correlation	Show correlation matrix of gene expression across samples	Correlation	1.0	single_dimensional	2+ numeric → pairwise corr | many numeric vars → matrix useful	SPLOM	1.0	Histogram	0.9	Scatter2D	0.8	1	8	0	0	Correlation chart — columns: Sample, Gene1, Gene2, Gene3, Gene4, Gene5, Gene6, Gene7, Gene8
density	Compare smooth density distribution of biomarker between two groups	Density	1.0	single_dimensional	1+ numeric → density estimate | overlay groups by category | enough n for smooth density	Bar	1.0	Boxplot	1.0	Violin	1.0	2	1	0	0	Density chart of Biomarker grouped by Group — columns: Sample, Biomarker, Group
dot_line	Show mean response with SD at each timepoint by treatment group	DotLine	1.0	single_dimensional	cat + numeric — possible forest plot	Heatmap	0.9	ParallelCoordinates	0.9	Bar	0.85	2	2	0	0	DotLine chart of Mean grouped by Timepoint colored by Group — columns: Timepoint, Mean, SD, Group
dotplot	Show individual data points for small cohort by group	Dotplot	1.0	single_dimensional	cat + numeric | small n — show every point	Bar	1.0	TreeBracket	0.85	Boxplot	0.8	2	1	0	0	Dotplot chart of Value grouped by Group — columns: Sample, Group, Value
dumbbell	Before vs after comparison across regions as dumbbell chart	Dumbbell	1.0	single_dimensional	cat + 2 numeric → before/after	ParallelCoordinates	0.9	Dotplot	0.85	Scatter2D	0.8	1	2	0	0	Dumbbell chart of Before grouped by Region — columns: Region, Before, After
gantt	Show project schedule with task start and end dates by phase	Gantt	1.0	single_dimensional	start/end dates + category	Upset	0.4	Dotplot	0.35	TreeBracket	0.35	2	0	2	0	Gantt chart — columns: Task, Start, End, Phase
