file	intent	top_graphType	top_score	top_category	scoring_factors	alt1_graphType	alt1_score	alt2_graphType	alt2_score	alt3_graphType	alt3_score	n_factor	n_numeric	n_time	n_bool	generate_hint
alluvial	Show patient response state transitions from baseline to week 24	Alluvial	1.0	single_dimensional	2+ cats + numeric → alluvial flow	Density	0.85	CDF	0.85	Boxplot	0.8	5	1	0	0	Alluvial chart of ExtraValue grouped by Baseline colored by Week12 — columns: PatientID, Baseline, Week12, Week24, Category2, ExtraValue
area	Show revenue area chart over months by region	Area	1.0	single_dimensional	time + numeric → area trend | stacked area by category	Line	0.95	Boxplot	0.9	Scatter2D	0.9	2	2	1	0	Area chart of Revenue over Month colored by Category2 — columns: Month, Revenue, Region, Category2, ExtraValue
bar	Compare average values across four groups	Bar	1.0	single_dimensional	1+ category + 1+ numeric | small-medium dataset	SPLOM	1.0	Heatmap	0.95	Boxplot	0.9	3	2	0	0	Bar chart of Value grouped by Group colored by Category2 — columns: Sample, Group, Value, Category2, ExtraValue
bar_line	Show monthly sales bars with market share trend line overlay	BarLine	1.0	multi_dimensional	time + 2 numeric → dual-axis bar-line | grouped series	Line	1.0	Spaghetti	1.0	Heatmap	0.95	2	3	1	0	BarLine chart of Sales over Month colored by Category2 — columns: Month, Sales, MarketShare, Group, Category2, ExtraValue
binplot	Bin scatter of two numeric variables across two groups	Binplot	1.0	multi_dimensional	2 numeric → binned scatter | large n → binning reduces overplot	Scatter2D	1.0	Heatmap	0.95	Boxplot	0.9	3	3	0	0	Binplot chart of X grouped by Group colored by Category2 — columns: Sample, X, Y, Group, Category2, ExtraValue
boxplot	Compare distribution of values across treatment groups	Boxplot	1.0	single_dimensional	cat + numeric → distribution by group | sufficient n for box stats | multiple numeric vars	Bar	1.0	SPLOM	1.0	Violin	1.0	3	2	0	0	Boxplot chart of Value grouped by Group colored by Category2 — columns: Sample, Group, Value, Category2, ExtraValue
bubble	Bubble chart with x, y position and bubble size as third variable	Bubble	1.0	multi_dimensional	3 numeric → x, y, size | colour bubbles by category	ScatterBubble2D	1.0	Scatter2D	1.0	Heatmap	1.0	3	4	0	0	Bubble chart of X grouped by Group colored by Category2 — columns: Sample, X, Y, Size, Group, Category2, ExtraValue
bullet	Bullet chart comparing actual performance against targets	Bullet	1.0	single_dimensional	cat + 2 numeric (value + target) | 3+ numeric — actual/target/range bullet pattern	Dumbbell	1.0	Ribbon	1.0	Heatmap	1.0	2	5	0	0	Bullet chart of Actual grouped by Metric colored by Category2 — columns: Metric, Actual, Target, Min, Max, Category2, ExtraValue
bump	Show ranking changes of drugs over years	Bump	1.0	single_dimensional		Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	3	2	0	0	Bump chart of Rank grouped by Drug colored by Year — columns: Drug, Year, Rank, Category2, ExtraValue
cdf	Cumulative distribution comparison between two groups	CDF	1.0	single_dimensional	1+ numeric → CDF | enough data for smooth CDF | group overlay → empirical CDF per group	Boxplot	1.0	SPLOM	1.0	Violin	1.0	3	2	0	0	CDF chart of Value grouped by Group colored by Category2 — columns: Sample, Value, Group, Category2, ExtraValue
chord	Show trade flow between global regions	Sankey	1.0	single_dimensional	2 cats as source/target + flow value	Alluvial	1.0	SPLOM	1.0	Chord	0.9	3	2	0	0	Sankey chart of Value grouped by From colored by To — columns: From, To, Value, Category2, ExtraValue
cleveland	Cleveland dot plot comparing metric values in 2020 vs 2024 by country	Bar	1.0	single_dimensional	1+ category + 1+ numeric | small-medium dataset	Cleveland	1.0	SPLOM	1.0	ParallelCoordinates	0.9	2	3	0	0	Bar chart of Value2020 grouped by Country colored by Category2 — columns: Country, Value2020, Value2024, Category2, ExtraValue
contour	Show 2D density contour of two correlated biomarkers	Density	1.0	single_dimensional	1+ numeric → density estimate | overlay groups by category | enough n for smooth density	Contour	1.0	Correlation	1.0	Boxplot	1.0	2	3	0	0	Density chart of Biomarker1 grouped by Category2 — columns: Sample, Biomarker1, Biomarker2, Category2, ExtraValue
correlation	Show correlation matrix of gene expression across samples	Correlation	1.0	single_dimensional	2+ numeric → pairwise corr | many numeric vars → matrix useful	Boxplot	0.9	Scatter2D	0.9	Dotplot	0.85	2	9	0	0	Correlation chart of Gene1 grouped by Category2 — columns: Sample, Gene1, Gene2, Gene3, Gene4, Gene5, Gene6, Gene7, Gene8, Category2, ExtraValue
density	Compare smooth density distribution of biomarker between two groups	Density	1.0	single_dimensional	1+ numeric → density estimate | overlay groups by category | enough n for smooth density	Boxplot	1.0	Violin	1.0	Bar	1.0	3	2	0	0	Density chart of Biomarker grouped by Group colored by Category2 — columns: Sample, Biomarker, Group, Category2, ExtraValue
dot_line	Show mean response with SD at each timepoint by treatment group	DotLine	1.0	single_dimensional	cat + numeric — possible forest plot | estimate + CI bounds pattern	Heatmap	0.9	ParallelCoordinates	0.9	Bar	0.85	3	3	0	0	DotLine chart of Mean grouped by Timepoint colored by Group — columns: Timepoint, Mean, SD, Group, Category2, ExtraValue
dotplot	Show individual data points for small cohort by group	Dotplot	1.0	single_dimensional	cat + numeric | small n — show every point	SPLOM	1.0	Heatmap	0.95	Boxplot	0.9	3	2	0	0	Dotplot chart of Value grouped by Group colored by Category2 — columns: Sample, Group, Value, Category2, ExtraValue
dumbbell	Before vs after comparison across regions as dumbbell chart	Dumbbell	1.0	single_dimensional	cat + 2 numeric → before/after	ParallelCoordinates	0.9	Dotplot	0.85	Scatter3D	0.85	2	3	0	0	Dumbbell chart of Before grouped by Region colored by Category2 — columns: Region, Before, After, Category2, ExtraValue
gantt	Show project schedule with task start and end dates by phase	Gantt	1.0	single_dimensional	start/end dates + category	Dotplot	0.85	Line	0.85	Spaghetti	0.8	3	1	2	0	Gantt chart of ExtraValue over Start colored by Phase — columns: Task, Start, End, Phase, Category2, ExtraValue
heatmap	Show gene expression heatmap across samples	Heatmap	1.0	single_dimensional	2 cats as row/col + numeric value | 4+ numeric vars — wide-format matrix view preferred over parallel coordinates | many numeric vars → matrix view | enough rows for matrix	Scatter2D	0.9	Dotplot	0.85	Scatter3D	0.85	2	9	0	0	Heatmap chart of ExtraValue grouped by Gene colored by Category2 — columns: Gene, Sample1, Sample2, Sample3, Sample4, Sample5, Sample6, Sample7, Sample8, Category2, ExtraValue
hexplot	Show density of two continuous variables with 500 data points	Hexplot	1.0	multi_dimensional	2 numeric → hex binning | large n — hexplot prevents overplotting	Density	1.0	Scatter2D	1.0	Contour	1.0	2	3	0	0	Hexplot chart of X grouped by Category2 — columns: Sample, X, Y, Category2, ExtraValue
histogram	Show frequency distribution of continuous measurement	Histogram	1.0	single_dimensional	1+ numeric → frequency distribution | enough data for bins	Boxplot	1.0	SPLOM	1.0	Violin	1.0	3	2	0	0	Histogram chart of Value grouped by Group colored by Category2 — columns: Sample, Value, Group, Category2, ExtraValue
kaplan_meier	Survival analysis comparing drug vs placebo arm	KaplanMeier	1.0	multi_dimensional	numeric time + category group	Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	3	3	0	0	KaplanMeier chart of Time grouped by Arm colored by Category2 — columns: Patient, Time, Event, Arm, Category2, ExtraValue
line	Show monthly sales trend by region over time	Line	1.0	single_dimensional	time + numeric → trend line | colour by category | enough time points	BarLine	1.0	Spaghetti	1.0	Boxplot	0.9	2	2	1	0	Line chart of Sales over Month colored by Category2 — columns: Month, Sales, Region, Category2, ExtraValue
lollipop	Rank genes by expression fold change as lollipop chart	Volcano	1.0	multi_dimensional	2 numeric — possible volcano	Heatmap	1.0	Lollipop	1.0	Boxplot	1.0	3	2	0	0	Volcano chart of Expression grouped by Gene colored by Direction — columns: Gene, Expression, Direction, Category2, ExtraValue
map	Show clinical trial enrollment and completion rate by US state on a map	Map	1.0	geographic		Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	2	3	0	0	Map chart of Enrollment grouped by State colored by Category2 — columns: State, Enrollment, CompletionRate, Category2, ExtraValue
map_world	World map showing GDP and population by country	Map	1.0	geographic		Bar	1.0	Boxplot	0.9	Scatter2D	0.9	2	3	0	0	Map chart of GDP grouped by Country colored by Category2 — columns: Country, GDP, Population, Category2, ExtraValue
network	Show network connections between nodes with edge weights	Network	1.0	network	2 cats — possible node/edge pairs	Sankey	1.0	Alluvial	1.0	Scatter2D	0.9	3	2	0	0	Network chart of Weight grouped by Source colored by Target — columns: Source, Target, Weight, Category2, ExtraValue
parallel_coordinates	Show multivariate profiles of three classes	Heatmap	1.0	single_dimensional	2 cats as row/col + numeric value | 4+ numeric vars — wide-format matrix view preferred over parallel coordinates | enough rows for matrix	ParallelCoordinates	1.0	Boxplot	0.9	Scatter2D	0.9	3	4	0	0	Heatmap chart of F1 grouped by Class colored by Category2 — columns: Sample, F1, F2, F3, Class, Category2, ExtraValue
pareto	Pareto chart of defect types by frequency	Pareto	1.0	single_dimensional	cat + numeric → ranked bar + cumulative %	Heatmap	1.0	Boxplot	0.9	ParallelCoordinates	0.9	2	2	0	0	Pareto chart of Count grouped by DefectType colored by Category2 — columns: DefectType, Count, Category2, ExtraValue
qq	QQ plot to assess normality of observed residuals	QQ	1.0	multi_dimensional	1+ numeric → quantile comparison | sufficient n for quantiles	Heatmap	0.95	Boxplot	0.9	Scatter2D	0.9	3	2	0	0	QQ chart of Observed grouped by Group colored by Category2 — columns: Sample, Observed, Group, Category2, ExtraValue
radar	Compare team performance across five skill dimensions	Radar	1.0	multi_dimensional	3+ numeric axes + category groups | 5+ axes — spider chart ideal	Bar	1.0	Heatmap	1.0	Dotplot	0.85	2	6	0	0	Radar chart of Speed grouped by Team colored by Category2 — columns: Team, Speed, Strength, Agility, Endurance, Precision, Category2, ExtraValue
ribbon	Ribbon plot of ranges per group	Ribbon	1.0	single_dimensional	numeric start/end ranges per group	Gantt	1.0	Heatmap	0.95	Boxplot	0.9	3	3	0	0	Ribbon chart of Start grouped by Group colored by Category2 — columns: Sample, Start, End, Group, Category2, ExtraValue
ridgeline	Compare score distributions across five departments	Ridgeline	1.0	single_dimensional	cat + numeric → stacked densities | enough n per group for density	Boxplot	1.0	Bar	1.0	Violin	1.0	3	2	0	0	Ridgeline chart of Score grouped by Department colored by Category2 — columns: Sample, Score, Department, Category2, ExtraValue
sankey	Show patient flow through clinical trial stages	Sankey	1.0	single_dimensional	2 cats as source/target + flow value	Alluvial	1.0	SPLOM	1.0	Chord	0.9	3	2	0	0	Sankey chart of Value grouped by Source colored by Target — columns: Source, Target, Value, Category2, ExtraValue
